SKU,Nombre,Descripción corta,Descripción,Cantidad,Precio normal,"Requiere Calcular Iva (1=Si,0=No)",Imágenes,Título SEO,Palabra clave de SEO,Descripción SEO
BTC42CO5075,"Caja Emt Redonda 5 Salidas de 3/4"" Elite Nema 4","<strong>Normativas:</strong> Certificada UL 514A<p class=""whitespace-pre-wrap""><strong>Cantidad de salidas:</strong> 5 salidas roscadas</p><p class=""whitespace-pre-wrap""><strong>Roscado de salidas:</strong> Métrico M20 x 1.5mm</p><p class=""whitespace-pre-wrap""><strong>Diámetro de caja:</strong> 75mm</p><p class=""whitespace-pre-wrap""><strong>Profundidad:</strong> 32mm</p>","Caja EMT Redonda de 5 Salidas de 3/4"" Elite NEMA 4\n\nLa Caja EMT Redonda de 5 Salidas de 3/4"" Elite NEMA 4 es una solución resistente y versátil diseñada para proyectos eléctricos que requieren conexiones seguras en entornos desafiantes. Su construcción duradera y certificación NEMA 4 la hacen apta para aplicaciones diversas en entornos industriales y exteriores.\n\nDiseñada específicamente para conductos de 3/4"", esta caja facilita una conexión precisa y segura, proporcionando flexibilidad en la distribución de cables y dispositivos eléctricos. Con cinco salidas estratégicamente ubicadas, esta caja es ideal para una variedad de aplicaciones:\n\nProyectos Residenciales: Perfecta para la distribución de conexiones eléctricas en hogares y espacios residenciales.\n\nEntornos Industriales: Apta para entornos industriales que demandan resistencia y protección contra elementos ambientales.\n\nProyectos Comerciales: Ideal para sistemas eléctricos en entornos comerciales que requieren fiabilidad y protección.\n\nInstalaciones Exteriores: Su resistencia al agua y al polvo la convierte en una elección segura para instalaciones en exteriores.",0,12500,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-2-1.jpeg,"Caja Emt Redonda 5 Salidas de 3/4"" Elite Nema 4",Caja Emt Redonda 5 Salidas de 34 Elite Nema 4,"Descubre Caja Emt Redonda 5 Salidas de 3/4"" Elite Nema 4, ideal para Tubería Metálica. Normativas: Certificada UL 514ACantidad de salidas: 5 salidas roscadasRoscado de... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
BTC42CO5050,"Caja Emt Redonda 5 Salidas de 1/2"" Elite Nema 4","<strong>Normativas:</strong> Certificada UL 514A<p class=""whitespace-pre-wrap""><strong>Cantidad de salidas:</strong> 5 salidas roscadas</p><p class=""whitespace-pre-wrap""><strong>Roscado de salidas:</strong> Métrico M20 x 1.5mm</p><p class=""whitespace-pre-wrap""><strong>Diámetro de caja:</strong> 75mm</p><p class=""whitespace-pre-wrap""><strong>Profundidad:</strong> 32mm</p>","Caja EMT Redonda de 5 Salidas de 3/4"" Elite NEMA 4\n\nLa Caja EMT Redonda de 5 Salidas de 3/4"" Elite NEMA 4 es una solución resistente y versátil diseñada para proyectos eléctricos que requieren conexiones seguras en entornos desafiantes. Su construcción duradera y certificación NEMA 4 la hacen apta para aplicaciones diversas en entornos industriales y exteriores.\n\nDiseñada específicamente para conductos de 3/4"", esta caja facilita una conexión precisa y segura, proporcionando flexibilidad en la distribución de cables y dispositivos eléctricos. Con cinco salidas estratégicamente ubicadas, esta caja es ideal para una variedad de aplicaciones:\n\nProyectos Residenciales: Perfecta para la distribución de conexiones eléctricas en hogares y espacios residenciales.\n\nEntornos Industriales: Apta para entornos industriales que demandan resistencia y protección contra elementos ambientales.\n\nProyectos Comerciales: Ideal para sistemas eléctricos en entornos comerciales que requieren fiabilidad y protección.\n\nInstalaciones Exteriores: Su resistencia al agua y al polvo la convierte en una elección segura para instalaciones en exteriores.",0,11800,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-2-1.jpeg,"Caja Emt Redonda 5 Salidas de 1/2"" Elite Nema 4",Caja Emt Redonda 5 Salidas de 12 Elite Nema 4,"Descubre Caja Emt Redonda 5 Salidas de 1/2"" Elite Nema 4, ideal para Tubería Metálica. Normativas: Certificada UL 514ACantidad de salidas: 5 salidas roscadasRoscado de... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
CJEMT5800DF5075,"Caja Emt 5800 (4""X2"") Doble Fondo 5 Salidas 3/4 Nema 4","<p class=""whitespace-pre-wrap""><strong>Cantidad de salidas:</strong> 5 salidas roscadas</p><p class=""whitespace-pre-wrap""><strong>Roscado de salidas:</strong> NPT 3/4""</p><p class=""whitespace-pre-wrap""><strong>Grado de protección:</strong> NEMA Tipo 4 (a prueba de salpicaduras)</p><p class=""whitespace-pre-wrap""><strong>Dimensiones:</strong> 20 x 10 x 10 cm (largo x ancho x fondo)</p>","Caja EMT 5800 Doble Fondo de 5 Salidas NEMA 4\n\nLa Caja EMT 5800 Doble Fondo de 5 Salidas NEMA 4 es una solución robusta y versátil diseñada para cumplir con los requerimientos eléctricos en entornos exigentes. Con una construcción resistente y la certificación NEMA 4, esta caja garantiza conexiones seguras y protegidas en ambientes industriales y exteriores.\n\nDiseñada para alojar conductos de 3/4"", esta caja facilita conexiones precisas y seguras, ofreciendo flexibilidad en la distribución de cables y dispositivos eléctricos. La presencia de un doble fondo agrega versatilidad al permitir una organización eficiente de los cables, lo que facilita la instalación y el mantenimiento.\n\nAplicaciones del Producto:\n\nProyectos Residenciales: Ideal para la distribución segura de conexiones eléctricas en hogares y espacios residenciales.\n\nEntornos Industriales: Adecuada para entornos industriales que requieren resistencia y protección contra elementos ambientales adversos.\n\nProyectos Comerciales: Perfecta para sistemas eléctricos en entornos comerciales, proporcionando fiabilidad y protección.\n\nInstalaciones Exteriores: Su certificación NEMA 4 y doble fondo la convierten en una elección segura para instalaciones en exteriores.",0,29750,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-1-1.jpeg,"Caja Emt 5800 (4""X2"") Doble Fondo 5 Salidas 3/4 Nema 4",Caja Emt 5800 4X2 Doble Fondo 5 Salidas 34 Nema,"Descubre Caja Emt 5800 (4""X2"") Doble Fondo 5 Salidas 3/4 Nema 4, ideal para Tubería Metálica. Cantidad de salidas: 5 salidas roscadasRoscado de salidas: NPT 3/4""Grado... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
5800DF5001,"Caja Emt 5800 (4""X2"") Doble Fondo 5 Salidas 1"" Nema 4","<p class=""whitespace-pre-wrap""><strong>Cantidad de salidas:</strong> 5 salidas roscadas</p><p class=""whitespace-pre-wrap""><strong>Roscado de salidas:</strong> NPT 3/4""</p><p class=""whitespace-pre-wrap""><strong>Grado de protección:</strong> NEMA Tipo 4 (a prueba de salpicaduras)</p><p class=""whitespace-pre-wrap""><strong>Dimensiones:</strong> 20 x 10 x 10 cm (largo x ancho x fondo)</p>","Caja EMT 5800 Doble Fondo de 5 Salidas NEMA 4\n\nLa Caja EMT 5800 Doble Fondo de 5 Salidas NEMA 4 es una solución robusta y versátil diseñada para cumplir con los requerimientos eléctricos en entornos exigentes. Con una construcción resistente y la certificación NEMA 4, esta caja garantiza conexiones seguras y protegidas en ambientes industriales y exteriores.\n\nDiseñada para alojar conductos de 3/4"", esta caja facilita conexiones precisas y seguras, ofreciendo flexibilidad en la distribución de cables y dispositivos eléctricos. La presencia de un doble fondo agrega versatilidad al permitir una organización eficiente de los cables, lo que facilita la instalación y el mantenimiento.\n\nAplicaciones del Producto:\n\nProyectos Residenciales: Ideal para la distribución segura de conexiones eléctricas en hogares y espacios residenciales.\n\nEntornos Industriales: Adecuada para entornos industriales que requieren resistencia y protección contra elementos ambientales adversos.\n\nProyectos Comerciales: Perfecta para sistemas eléctricos en entornos comerciales, proporcionando fiabilidad y protección.\n\nInstalaciones Exteriores: Su certificación NEMA 4 y doble fondo la convierten en una elección segura para instalaciones en exteriores.",0,29750,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-1-1.jpeg,"Caja Emt 5800 (4""X2"") Doble Fondo 5 Salidas 1"" Nema 4",Caja Emt 5800 4X2 Doble Fondo 5 Salidas 1 Nema,"Descubre Caja Emt 5800 (4""X2"") Doble Fondo 5 Salidas 1"" Nema 4, ideal para Tubería Metálica. Cantidad de salidas: 5 salidas roscadasRoscado de salidas: NPT 3/4""Grado... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
BTC42CR5075,"Caja Emt 5800 (4""X2"") 5 Salidas de 3/4"" Elite Nema 4",Color: GrisMaterial: Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 5 salidas de 3/4,"Las cajas de registro rectangulares y cuadradas RAWELT son diseñadas y fabricadas bajo los más estrictos controles de calidad, certificadas en normas internacionales, por UL y CSA siendo utilizadas en la industria tanto pesada como ligera, así mismo en aplicaciones comerciales como residenciales.",0,13200,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-1-1.jpeg,"Caja Emt 5800 (4""X2"") 5 Salidas de 3/4"" Elite Nema 4",Caja Emt 5800 4X2 5 Salidas de 34 Elite Nema,"Descubre Caja Emt 5800 (4""X2"") 5 Salidas de 3/4"" Elite Nema 4, ideal para Tubería Metálica. Color: GrisMaterial: Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 5 salidas de 3/4... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
BTC42CR5050,"Caja Emt 5800 (4""X2"") 5 Salidas de 1/2 Elite Nema 4","Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 5 Salidas de 1/2","Las cajas de registro rectangulares y cuadradas RAWELT son diseñadas y fabricadas bajo los más estrictos controles de calidad, certificadas en normas internacionales, por UL y CSA siendo utilizadas en la industria tanto pesada como ligera, así mismo en aplicaciones comerciales como residenciales.",0,12950,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-1-1.jpeg,"Caja Emt 5800 (4""X2"") 5 Salidas de 1/2 Elite Nema 4",Caja Emt 5800 4X2 5 Salidas de 12 Elite Nema,"Descubre Caja Emt 5800 (4""X2"") 5 Salidas de 1/2 Elite Nema 4, ideal para Tubería Metálica. Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 5 Salidas de 1/2... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
BTC42CR4075,"Caja Emt 5800 (4""X2"") 4 Salidas de 3/4"" Elite Nema 4","Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 4 Salidas de 3/4","Las cajas de registro rectangulares y cuadradas RAWELT son diseñadas y fabricadas bajo los más estrictos controles de calidad, certificadas en normas internacionales, por UL y CSA siendo utilizadas en la industria tanto pesada como ligera, así mismo en aplicaciones comerciales como residenciales.",0,15700,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-1-1.jpeg,"Caja Emt 5800 (4""X2"") 4 Salidas de 3/4"" Elite Nema 4",Caja Emt 5800 4X2 4 Salidas de 34 Elite Nema,"Descubre Caja Emt 5800 (4""X2"") 4 Salidas de 3/4"" Elite Nema 4, ideal para Tubería Metálica. Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 4 Salidas de 3/4... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
BTC42CR4050,"Caja Emt 5800 (4""X2"") 4 Salidas de 1/2"" Elite Nema 4","Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 4 Salidas de 1/2","Las cajas de registro rectangulares y cuadradas RAWELT son diseñadas y fabricadas bajo los más estrictos controles de calidad, certificadas en normas internacionales, por UL y CSA siendo utilizadas en la industria tanto pesada como ligera, así mismo en aplicaciones comerciales como residenciales.",0,15300,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-1-1.jpeg,"Caja Emt 5800 (4""X2"") 4 Salidas de 1/2"" Elite Nema 4",Caja Emt 5800 4X2 4 Salidas de 12 Elite Nema,"Descubre Caja Emt 5800 (4""X2"") 4 Salidas de 1/2"" Elite Nema 4, ideal para Tubería Metálica. Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 4 Salidas de 1/2... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
BTC42CR3075,"Caja Emt 5800 (4""X2"") 3 Salidas de 3/4"" Elite Nema 4","Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 3 Salidas de 3/4","Las cajas de registro rectangulares y cuadradas RAWELT son diseñadas y fabricadas bajo los más estrictos controles de calidad, certificadas en normas internacionales, por UL y CSA siendo utilizadas en la industria tanto pesada como ligera, así mismo en aplicaciones comerciales como residenciales.",0,12750,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-1-1.jpeg,"Caja Emt 5800 (4""X2"") 3 Salidas de 3/4"" Elite Nema 4",Caja Emt 5800 4X2 3 Salidas de 34 Elite Nema,"Descubre Caja Emt 5800 (4""X2"") 3 Salidas de 3/4"" Elite Nema 4, ideal para Tubería Metálica. Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 3 Salidas de 3/4... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
BTC42CR3050,"Caja Emt 5800 (4""X2"") 3 Salidas de 1/2"" Elite Nema 4","Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 3 Salidas de 1/2","Las cajas de registro rectangulares y cuadradas RAWELT son diseñadas y fabricadas bajo los más estrictos controles de calidad, certificadas en normas internacionales, por UL y CSA siendo utilizadas en la industria tanto pesada como ligera, así mismo en aplicaciones comerciales como residenciales.",0,14700,1,https://electrificadoracapital.com/wp-content/uploads/2021/02/WhatsApp-Image-2021-02-05-at-11.03.55-AM-1-1.jpeg,"Caja Emt 5800 (4""X2"") 3 Salidas de 1/2"" Elite Nema 4",Caja Emt 5800 4X2 3 Salidas de 12 Elite Nema,"Descubre Caja Emt 5800 (4""X2"") 3 Salidas de 1/2"" Elite Nema 4, ideal para Tubería Metálica. Color: GrisMaterial, Aluminio InyectadoAlto: 5cmAncho: 11.6cmSalida: 3 Salidas de 1/2... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
