SKU,Nombre,Descripción corta,Descripción,Cantidad,Precio normal,"Requiere Calcular Iva (1=Si,0=No)",Imágenes,Título SEO,Palabra clave de SEO,Descripción SEO
CLTT3/4,Conduleta Lisa Tipo T 3/4,<strong>Forma:</strong> T\n<strong>Tamaño comercial: </strong>3/4,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,13000,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/T-13CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo T 34 Facilitan actividades como inspecciones halado,
CLTT11/2,"Conduleta Lisa Tipo T 11/2""",<strong>Forma:</strong> T\n<strong>Tamaño comercial: </strong>1 1/2,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,26500,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/T-13CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo T 112 Facilitan actividades como inspecciones halado,
CLTT1/2,"Conduleta Lisa Tipo T 1/2""",<strong>Forma:</strong> T\n<strong>Tamaño comercial: </strong>1/2,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,10850,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/T-13CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo T 12 Facilitan actividades como inspecciones halado,
CLLR3/4,"Conduleta Lisa Tipo LR 3/4""",<strong>Forma:</strong> LR\n<strong>Tamaño comercial: </strong>3/4,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,9450,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LR-33CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LR 34 Facilitan actividades como inspecciones halado,
CLLR11/4,"Conduleta Lisa Tipo LR 11/4""",<strong>Forma:</strong> LR\n<strong>Tamaño comercial: </strong>1 1/4,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,24000,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LR-33CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LR 114 Facilitan actividades como inspecciones halado,
CLLR11/2,"Conduleta Lisa Tipo LR 11/2""",<strong>Forma:</strong> LR\n<strong>Tamaño comercial: </strong>1 1/2,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,25000,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LR-33CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LR 112 Facilitan actividades como inspecciones halado,
CLLR1/2,"Conduleta Lisa Tipo LR 1/2""",<strong>Forma:</strong> LR\n<strong>Tamaño comercial: </strong>1/2,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,6350,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LR-33CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LR 12 Facilitan actividades como inspecciones halado,
CLLL3/4,Conduleta Lisa Tipo LL 3/4,<strong>Forma:</strong> LL\n<strong>Tamaño comercial: </strong>3/4,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,14200,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LL-13CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LL 34 Facilitan actividades como inspecciones halado,
CLLL11/4,"Conduleta Lisa Tipo LL 11/4""",<strong>Forma:</strong> LL\n<strong>Tamaño comercial: </strong>1 1/4,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,24000,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LL-13CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LL 114 Facilitan actividades como inspecciones halado,
CLLL11/2,"Conduleta Lisa Tipo LL 11/2""",<strong>Forma:</strong> LL\n<strong>Tamaño comercial: </strong>1 1/2,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,25900,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LL-13CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LL 112 Facilitan actividades como inspecciones halado,
CLLL1/2,"Conduleta Lisa Tipo LL 1/2""",<strong>Forma:</strong> LL\n<strong>Tamaño comercial: </strong>1/2,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,6350,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LL-13CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LL 12 Facilitan actividades como inspecciones halado,
CLC1,"Conduleta Lisa Tipo C 1""",<strong>Forma:</strong> C\n<strong>Tamaño comercial: </strong>1,"Usadas en lugares de trabajo pesado para instalaciones a la intemperie, permitiendo el halado, paso y empalme en áreas clasificadas como NO peligrosas. Posteriormente permite el fácil mantenimiento para acceder a los conductores instalados",0,11750,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/C-13CGC-TAPAYEMP.-1.jpg,,Conduleta Lisa Tipo C 1 Usadas en lugares de trabajo,
CLLB3/4,"Conduleta Lisa Tipo LB 3/4""",<strong>Forma:</strong> LB\n<strong>Tamaño comercial: </strong>3/4,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,12700,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LB-23CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LB 34 Facilitan actividades como inspecciones halado,
CLLB11/4,"Conduleta Lisa Tipo LB 11/4""",<strong>Forma:</strong> LB\n<strong>Tamaño comercial: </strong>1 1/4,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,24000,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LB-23CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LB 114 Facilitan actividades como inspecciones halado,
CLLB11/2,"Conduleta Lisa Tipo LB 11/2""",<strong>Forma:</strong> LB\n<strong>Tamaño comercial: </strong>1 1/2,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,27550,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LB-23CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LB 112 Facilitan actividades como inspecciones halado,
CLLB1/2,"Conduleta Lisa Tipo LB 1/2""",<strong>Forma:</strong> LB\n<strong>Tamaño comercial: </strong>1/2,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,6350,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LB-23CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LB 12 Facilitan actividades como inspecciones halado,
CLC3,"Conduleta Lisa Tipo C 3""",<strong>Forma:</strong> C\n<strong>Tamaño comercial: </strong>3,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,116550,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/C-13CGC-TAPAYEMP.-1.jpg,,Conduleta Lisa Tipo C 3 Facilitan actividades como inspecciones halado,
CLC11/4,"Conduleta Lisa Tipo C 11/4""",<strong>Forma:</strong> C\n<strong>Tamaño comercial: </strong>1 1/4,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,24000,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/C-13CGC-TAPAYEMP.-1.jpg,,Conduleta Lisa Tipo C 114 Facilitan actividades como inspecciones halado,
CLTT1,"Conduleta Lisa Tipo T 1""",<strong>Forma:</strong> T\n<strong>Tamaño comercial: </strong>1,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,15550,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/T-13CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo T 1 Facilitan actividades como inspecciones halado,
CLLR1,"Conduleta Lisa Tipo LR 1""",<strong>Forma:</strong> LR\n<strong>Tamaño comercial: </strong>1,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,11050,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LR-33CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LR 1 Facilitan actividades como inspecciones halado,
CLLL1,"Conduleta Lisa Tipo LL 1""",<strong>Forma:</strong> LL\n<strong>Tamaño comercial: </strong>1,"Facilitan actividades como inspecciones, halado de cables, montaje de curvas, derivaciones, modificación de las instalaciones, entre otras. Su acabado libre de defectos y sin superficies cortantes evita daños en el conductor. Fácil instalación Fabricados en aluminio Acabado en pintura electrostática Para uso en ambientes con polvo, humedad y goteo de agua.",0,11050,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/LL-13CGC-TAPAYEMP..jpg,,Conduleta Lisa Tipo LL 1 Facilitan actividades como inspecciones halado,
