SKU,Nombre,Descripción corta,Descripción,Cantidad,Precio normal,"Requiere Calcular Iva (1=Si,0=No)",Imágenes,Título SEO,Palabra clave de SEO,Descripción SEO
TBEMT3/4MAX,"Tubo Emt 3/4"" Maxw/Gec/Americ","<strong>Material:</strong> Acero galvanizado<strong>Diámetro nominal:</strong> 3/4"" (0.75 pulgadas)<strong>Longitud estándar:</strong> Varía según los requisitos y especificaciones<strong>Resistencia a la corrosión:</strong> El recubrimiento de zinc proporciona una protección adicional contra la oxidación y la corrosión<strong>Flexibilidad:</strong> El tubo EMT es fácil de doblar y manipular, lo que facilita su instalación","Es un conductor metálico eléctrico utilizado para proteger y encauzar los cables eléctricos en instalaciones eléctricas. Este tubo está hecho de acero galvanizado.\n\nAmpliamente utilizado en instalaciones eléctricas residenciales, comerciales e industriales. Proporciona una protección confiable y segura para los cables eléctricos, manteniéndolos organizados y protegidos de daños externos.",0,28900,1,https://electrificadoracapital.com/wp-content/uploads/2023/07/Tubo-EMT.png,"Tubo Emt 3/4"" Maxw/Gec/Americ",Tubo Emt 34 MaxwGecAmeric Es un conductor metálico eléctrico utilizado,"Descubre Tubo Emt 3/4"" Maxw/Gec/Americ, ideal para Tubería Metálica. Material: Acero galvanizadoDiámetro nominal: 3/4"" (0.75 pulgadas)Longitud estándar: Varía según... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
TBEMT3MAX,"Tubo Emt 3"" Maxw/Gec/Americ","<strong>Material:</strong> Acero galvanizado<strong>Diámetro nominal:</strong> 3"" (3 pulgadas)<strong>Longitud estándar:</strong> Varía según los requisitos y especificaciones<strong>Resistencia a la corrosión:</strong> El recubrimiento de zinc proporciona una protección adicional contra la oxidación y la corrosión<strong>Flexibilidad:</strong> El tubo EMT es fácil de doblar y manipular, lo que facilita su instalación","Es un conductor metálico eléctrico utilizado para proteger y encauzar los cables eléctricos en instalaciones eléctricas. Este tubo está hecho de acero galvanizado.\n\nAmpliamente utilizado en instalaciones eléctricas residenciales, comerciales e industriales. Proporciona una protección confiable y segura para los cables eléctricos, manteniéndolos organizados y protegidos de daños externos.",0,188150,1,https://electrificadoracapital.com/wp-content/uploads/2023/07/Tubo-EMT.png,"Tubo Emt 3"" Maxw/Gec/Americ",Tubo Emt 3 MaxwGecAmeric Es un conductor metálico eléctrico utilizado,"Descubre Tubo Emt 3"" Maxw/Gec/Americ, ideal para Tubería Metálica. Material: Acero galvanizadoDiámetro nominal: 3"" (3 pulgadas)Longitud estándar: Varía según... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
TBEMT2MAX,"Tubo Emt 2"" Maxw/Gec/Americ","<strong>Material:</strong> Acero galvanizado<strong>Diámetro nominal:</strong> 2"" (2 pulgadas)<strong>Longitud estándar:</strong> Varía según los requisitos y especificaciones<strong>Resistencia a la corrosión:</strong> El recubrimiento de zinc proporciona una protección adicional contra la oxidación y la corrosión<strong>Flexibilidad:</strong> El tubo EMT es fácil de doblar y manipular, lo que facilita su instalación","Es un conductor metálico eléctrico utilizado para proteger y encauzar los cables eléctricos en instalaciones eléctricas. Este tubo está hecho de acero galvanizado.\n\nAmpliamente utilizado en instalaciones eléctricas residenciales, comerciales e industriales. Proporciona una protección confiable y segura para los cables eléctricos, manteniéndolos organizados y protegidos de daños externos.",0,88200,1,https://electrificadoracapital.com/wp-content/uploads/2023/07/Tubo-EMT.png,"Tubo Emt 2"" Maxw/Gec/Americ",Tubo Emt 2 MaxwGecAmeric Es un conductor metálico eléctrico utilizado,"Descubre Tubo Emt 2"" Maxw/Gec/Americ, ideal para Tubería Metálica. Material: Acero galvanizadoDiámetro nominal: 2"" (2 pulgadas)Longitud estándar: Varía según... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
TBEMT1/2MAX,"Tubo Emt 1/2"" Maxw/Gec/Americ","<strong>Material:</strong> Acero galvanizado<strong>Diámetro nominal:</strong> 1/2"" (0.5 pulgadas)<strong>Longitud estándar:</strong> Varía según los requisitos y especificaciones<strong>Resistencia a la corrosión:</strong> El recubrimiento de zinc proporciona una protección adicional contra la oxidación y la corrosión<strong>Flexibilidad: </strong>El tubo EMT es fácil de doblar y manipular, lo que facilita su instalación","Es un conductor metálico eléctrico utilizado para proteger y encauzar los cables eléctricos en instalaciones eléctricas. Este tubo está hecho de acero galvanizado.\n\nAmpliamente utilizado en instalaciones eléctricas residenciales, comerciales e industriales. Proporciona una protección confiable y segura para los cables eléctricos, manteniéndolos organizados y protegidos de daños externos.\n\n&nbsp;",0,18350,1,https://electrificadoracapital.com/wp-content/uploads/2023/07/Tubo-EMT.png,"Tubo Emt 1/2"" Maxw/Gec/Americ",Tubo Emt 12 MaxwGecAmeric Es un conductor metálico eléctrico utilizado,"Descubre Tubo Emt 1/2"" Maxw/Gec/Americ, ideal para Tubería Metálica. Material: Acero galvanizadoDiámetro nominal: 1/2"" (0.5 pulgadas)Longitud estándar: Varía según... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
TBEMT1MAX,"Tubo Emt 1"" Maxw/Gec/Americ","<strong>Material:</strong> Acero galvanizado<strong>diámetro nominal:</strong> 1"" (1 pulgada)<strong>Longitud estándar:</strong> Varía según los requisitos y especificaciones<strong>Resistencia a la corrosión:</strong> El recubrimiento de zinc proporciona una protección adicional contra la oxidación y la corrosión<strong>Flexibilidad:</strong> El tubo EMT es fácil de doblar y manipular, lo que facilita su instalación","Es un conductor metálico eléctrico utilizado para proteger y encauzar los cables eléctricos en instalaciones eléctricas. Este tubo está hecho de acero galvanizado.\n\nAmpliamente utilizado en instalaciones eléctricas residenciales, comerciales e industriales. Proporciona una protección confiable y segura para los cables eléctricos, manteniéndolos organizados y protegidos de daños externos.",0,42650,1,https://electrificadoracapital.com/wp-content/uploads/2023/07/Tubo-EMT.png,"Tubo Emt 1"" Maxw/Gec/Americ",Tubo Emt 1 MaxwGecAmeric Es un conductor metálico eléctrico utilizado,"Descubre Tubo Emt 1"" Maxw/Gec/Americ, ideal para Tubería Metálica. Material: Acero galvanizadodiámetro nominal: 1"" (1 pulgada)Longitud estándar: Varía según... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
TBEMT1-1/4MAX,"Tubo Emt 1 1/4"" Maxw/Gec/Americ","<strong>Material:</strong> Acero galvanizado<strong>Diámetro nominal:</strong> 1 1/2"" (1.5 pulgadas)<strong>Longitud estándar:</strong> Varía según los requisitos y especificaciones<strong>Resistencia a la corrosión:</strong> El recubrimiento de zinc proporciona una protección adicional contra la oxidación y la corrosión<strong>Flexibilidad:</strong> El tubo EMT es fácil de doblar y manipular, lo que facilita su instalación","Es un conductor metálico eléctrico utilizado para proteger y encauzar los cables eléctricos en instalaciones eléctricas. Este tubo está hecho de acero galvanizado.\n\nAmpliamente utilizado en instalaciones eléctricas residenciales, comerciales e industriales. Proporciona una protección confiable y segura para los cables eléctricos, manteniéndolos organizados y protegidos de daños externos.",0,59850,1,https://electrificadoracapital.com/wp-content/uploads/2023/07/Tubo-EMT.png,"Tubo Emt 1 1/4"" Maxw/Gec/Americ",Tubo Emt 1 14 MaxwGecAmeric Es un conductor metálico eléctrico,"Descubre Tubo Emt 1 1/4"" Maxw/Gec/Americ, ideal para Tubería Metálica. Material: Acero galvanizadoDiámetro nominal: 1 1/2"" (1.5 pulgadas)Longitud estándar: Varía... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
TBEMT1-1/2MAX,"Tubo Emt 1 1/2"" Maxw/Gec/Americ","<strong>Material:</strong> Acero galvanizado<strong>Diámetro nominal:</strong> 1 1/2"" (1.5 pulgadas)<strong>Longitud estándar:</strong> Varía según los requisitos y especificaciones<strong>Resistencia a la corrosión:</strong> El recubrimiento de zinc proporciona una protección adicional contra la oxidación y la corrosión<strong>Flexibilidad:</strong> El tubo EMT es fácil de doblar y manipular, lo que facilita su instalación","Es un conductor metálico eléctrico utilizado para proteger y encauzar los cables eléctricos en instalaciones eléctricas. Este tubo está hecho de acero galvanizado.\n\nAmpliamente utilizado en instalaciones eléctricas residenciales, comerciales e industriales. Proporciona una protección confiable y segura para los cables eléctricos, manteniéndolos organizados y protegidos de daños externos.\n\n&nbsp;",0,69350,1,https://electrificadoracapital.com/wp-content/uploads/2023/07/Tubo-EMT.png,"Tubo Emt 1 1/2"" Maxw/Gec/Americ",Tubo Emt 1 12 MaxwGecAmeric Es un conductor metálico eléctrico,"Descubre Tubo Emt 1 1/2"" Maxw/Gec/Americ, ideal para Tubería Metálica. Material: Acero galvanizadoDiámetro nominal: 1 1/2"" (1.5 pulgadas)Longitud estándar: Varía... Encuentra la solución perfecta para tus necesidades con nuestras opciones versátiles."
TBEMT4,Tubo EMT de 4 x 3Mts,"<strong>Diámetro nominal pulg: </strong>4""\n\n<strong>Diámetro real en mm: </strong>114.30\n\n<strong>Peso: </strong>17.44 Kg\n\n<strong>Longitud tubo: </strong>3.05mts\n\n<strong>Material del  tubo: </strong>acero y aluminio\n\n<strong>Aplicación del tubo: </strong>interior o exterior según requerimiento.","<strong>Tubo EMT 4 x 3Mts</strong>\n\nLa tubería eléctrica metálica (E.M.T.) está diseñada especialmente para la conducción de cables eléctricos para zonas industriales, comerciales y residenciales, también es muy útil para cableado estructurado, manteniendo el cableado aislado, protegiéndolo contra todo tipo de amenazas que pudieran dañarlo.\n\nEMT es una tubería de pared delgada que a menudo se elige en lugar de una tubería rígida galvanizada. Está fabricado en acero pintado y aluminio. La razón por la que es tan popular es por su asequibilidad y flexibilidad. Esta es una de las opciones de mangueras metálicas más livianas y se usa con o sin conexiones roscadas.\n\nEs probable que cualquier proyecto eléctrico industrial, comercial o de almacén a gran escala requiera la instalación de un conducto EMT en todo momento. Aunque la mayor parte de este Tubo EMT de 4  está dentro de las paredes, a veces está expuesto en diferentes ambientes.\n\nEncontrará EMT uno de los materiales más fáciles y ligeros de usar. Debido a su versatilidad, se puede plegar, cortar e instalar fácilmente.\n\n&nbsp;",0,289200,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/tubo-metalico-emt.jpg,,Tubo EMT de 4 x 3Mts Tubo EMT 4 x,
TBEMT3/4,Tubo EMT de 3/4 x 3Mts,"<strong>Diámetro nominal pulg: </strong>3/4""\n\n<strong>Diámetro real en mm: </strong>23.42\n\n<strong>Peso: </strong>2.08 Kg\n\n<strong>Longitud tubo: </strong>3.05mts\n\n<strong>Material del  tubo: </strong>acero y aluminio\n\n<strong>Aplicación del tubo: </strong>interior o exterior según requerimiento.","<strong>Tubo EMT 3/4 x 3Mts</strong>\n\nLa tubería eléctrica metálica (E.M.T.) está diseñada especialmente para la conducción de cables eléctricos para zonas industriales, comerciales y residenciales, también es muy útil para cableado estructurado, manteniendo el cableado aislado, protegiéndolo contra todo tipo de amenazas que pudieran dañarlo.\n\nEMT es una tubería de pared delgada que a menudo se elige en lugar de una tubería rígida galvanizada. Está fabricado en acero pintado y aluminio. La razón por la que es tan popular es por su asequibilidad y flexibilidad. Esta es una de las opciones de mangueras metálicas más livianas y se usa con o sin conexiones roscadas.\n\nEs probable que cualquier proyecto eléctrico industrial, comercial o de almacén a gran escala requiera la instalación de un conducto EMT en todo momento. Aunque la mayor parte de este Tubo EMT de 3/4  está dentro de las paredes, a veces está expuesto en diferentes ambientes.\n\nEncontrará EMT uno de los materiales más fáciles y ligeros de usar. Debido a su versatilidad, se puede plegar, cortar e instalar fácilmente.",0,35900,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/tubo-metalico-emt.jpg,,Tubo EMT de 34 x 3Mts Tubo EMT 34 x,
TBEMT3,Tubo EMT de 3 x 3Mts,"<strong>Diámetro nominal pulg: </strong>3"".\n\n<strong>Diámetro real en mm: </strong>88.90.\n\n<strong>Peso: </strong>12.04 Kg.\n\n<strong>Longitud tubo: </strong>3.05mts.\n\n<strong>Material del  tubo: </strong>acero y aluminio\n\n<strong>Aplicación del tubo: </strong>interior o exterior según requerimiento.","<strong>Tubo EMT de 3 x 3Mts</strong>\n\nLa tubería eléctrica metálica (E.M.T.) está diseñada especialmente para la conducción de cables eléctricos para zonas industriales, comerciales y residenciales, también es muy útil para cableado estructurado, manteniendo el cableado aislado, protegiéndolo contra todo tipo de amenazas que pudieran dañarlo.\n\nEMT es una tubería de pared delgada que a menudo se elige en lugar de una tubería rígida galvanizada. Está fabricado en acero pintado y aluminio. La razón por la que es tan popular es por su asequibilidad y flexibilidad. Esta es una de las opciones de mangueras metálicas más livianas y se usa con o sin conexiones roscadas.\n\nEs probable que cualquier proyecto eléctrico industrial, comercial o de almacén a gran escala requiera la instalación de un conducto EMT en todo momento. Aunque la mayor parte de este Tubo EMT de 3  está dentro de las paredes, a veces está expuesto en diferentes ambientes.\n\nEncontrará EMT uno de los materiales más fáciles y ligeros de usar. Debido a su versatilidad, se puede plegar, cortar e instalar fácilmente.",0,195800,1,https://electrificadoracapital.com/wp-content/uploads/2018/11/tubo-metalico-emt.jpg,,Tubo EMT de 3 x 3Mts Tubo EMT de 3,
